Date,Open,High,Low,Close,Volume
2018-09-04,105.73,106.802,105.144,106.564,23728617.871268
2018-09-05,105.889,106.275,103.138,103.476,34461137.175186
2018-09-06,103.257,103.963,102.563,103.714,24612343.339038
2018-09-07,103.237,103.704,102.295,103.227,23586050.442057
2018-09-10,103.813,104.597,103.357,104.34,21729726.539361
2018-09-11,103.873,106.444,103.863,106.107,25476326.981087
2018-09-12,106.285,106.702,105.412,106.564,19804108.314673
2018-09-13,106.961,108.489,106.961,107.695,27314939.749456
2018-09-14,108.132,108.489,107.249,108.142,20046570.449755
2018-09-17,108.449,108.459,106.712,106.981,21738751.834451
2018-09-18,107.02,108.459,106.574,107.993,23242498.958251
2018-09-19,107.834,108.092,105.909,106.554,22778606.848964
2018-09-20,107.099,108.559,106.782,108.33,24860680.981514
2018-09-21,108.757,109.979,108.272,108.996,74672369.427416
2018-09-24,107.815,109.601,107.049,109.373,28655587.905003
2018-09-25,109.502,109.79,108.509,109.164,23763601.969902
2018-09-26,109.184,109.75,108.499,108.738,20287347.393019
2018-09-27,109.482,109.611,108.946,109.125,20014019.957477
2018-09-28,108.936,109.273,108.439,109.096,22694092.414381
2018-10-01,109.453,110.356,109.433,110.286,19795736.749105
2018-10-02,109.989,110.515,109.155,109.839,21791927.543498
2018-10-03,110.098,110.833,109.631,109.859,17452648.26217
2018-10-04,109.313,109.463,106.484,107.576,36504720.841672
2018-10-05,107.427,107.953,105.541,106.971,30473814.183717
2018-10-08,106.514,106.881,104.3,105.73,31073176.375206
2018-10-09,106.007,107.864,105.68,107.079,27464823.107044
2018-10-10,106.107,106.355,100.885,101.252,64342750.980815
2018-10-11,100.468,103.903,99.4056,101.004,66992899.950977
2018-10-12,103.983,106.107,102.185,104.528,50049578.503483
2018-10-15,103.883,104.44,102.016,102.652,33618018.484308
2018-10-16,104.499,106.266,103.923,105.879,33137945.310254
2018-10-17,106.534,106.662,104.508,105.6,27831371.969441
2018-10-18,105.024,105.432,102.88,103.486,34077281.100711
2018-10-19,103.903,105.74,103.227,103.634,34370061.270491
2018-10-22,104.29,105.442,103.247,104.587,27828608.980107
2018-10-23,102.82,103.943,100.269,103.138,45885939.925806
2018-10-24,103.397,103.476,96.9058,97.6106,66986061.476828
2018-10-25,101.63,104.24,101.242,103.297,64626330.587498
2018-10-26,100.795,103.724,99.9513,102.026,58206643.226977
2018-10-29,103.138,103.674,96.9455,99.068,57828087.498792
2018-10-30,98.8794,99.5744,95.4961,98.9489,68509414.442549
2018-10-31,100.548,103.168,100.508,101.878,53530329.611311
2018-11-01,102.116,102.383,100.646,101.014,34997724.208725
2018-11-02,101.56,102.383,100.151,101.252,39501351.49468
2018-11-05,101.451,102.79,100.994,102.563,29271675.096456
2018-11-06,102.443,103.813,101.371,102.77,25516658.768517
